customer_id,last_order_date,frequency,monetary,recency_days,r_score,f_score,m_score,rfm_combined_score,segment
C00822,2024-12-30,1,96829.51,1,5,2,3,523,Potential Loyalists
C01908,2024-12-30,59,7820871.13,1,5,5,5,555,Champions
C04320,2024-12-30,59,6965229.56,1,5,5,5,555,Champions
C04760,2024-12-30,59,3542032.37,1,5,5,5,555,Champions
C01934,2024-12-30,59,10208968.11,1,5,5,5,555,Champions
C00771,2024-12-30,14,698321.96,1,5,5,4,554,Champions
C02395,2024-12-30,59,6987738.60,1,5,5,5,555,Champions
C04366,2024-12-30,59,5325366.11,1,5,5,5,555,Champions
C00324,2024-12-30,59,4911516.59,1,5,5,5,555,Champions
C04388,2024-12-30,46,5764807.91,1,5,5,5,555,Champions
C00698,2024-12-30,59,9213486.51,1,5,5,5,555,Champions
C02020,2024-12-30,1,1739.27,1,5,2,1,521,Potential Loyalists
C02025,2024-12-30,15,1916272.24,1,5,5,5,555,Champions
C02328,2024-12-30,37,4145586.44,1,5,5,5,555,Champions
C00626,2024-12-30,59,7864188.18,1,5,5,5,555,Champions
C02302,2024-12-30,8,713167.18,1,5,4,4,544,Champions
C04007,2024-12-31,59,5871684.62,0,5,5,5,555,Champions
C02124,2024-12-30,57,3709999.03,1,5,5,5,555,Champions
C02299,2024-12-30,59,8726583.46,1,5,5,5,555,Champions
C03118,2024-12-30,31,3547386.60,1,5,5,5,555,Champions
C03109,2024-12-30,59,10710387.47,1,5,5,5,555,Champions
C02268,2024-12-30,2,5829.31,1,5,3,1,531,Potential Loyalists
C03099,2024-12-30,24,2528444.29,1,5,5,5,555,Champions
C04358,2024-12-29,1,67723.90,2,5,2,2,522,Potential Loyalists
C04745,2024-12-29,59,8898658.81,2,5,5,5,555,Champions
C01962,2024-12-29,59,4205867.15,2,5,5,5,555,Champions
C00316,2024-12-29,23,1117455.81,2,5,5,4,554,Champions
C04392,2024-12-29,4,196920.35,2,5,4,3,543,Loyal Customers
C02383,2024-12-29,12,1922233.71,2,5,4,5,545,Champions
C00327,2024-12-29,57,3970705.67,2,5,5,5,555,Champions
C00135,2024-12-29,59,7688963.46,2,5,5,5,555,Champions
C03570,2024-12-29,2,200502.34,2,5,3,3,533,Loyal Customers
C02749,2024-12-29,48,5048185.56,2,5,5,5,555,Champions
C00165,2024-12-29,59,4707290.94,2,5,5,5,555,Champions
C02535,2024-12-29,59,3075262.24,2,5,5,5,555,Champions
C01022,2024-12-29,59,4406566.12,2,5,5,5,555,Champions
C03584,2024-12-29,59,5488878.63,2,5,5,5,555,Champions
C02739,2024-12-29,59,3987150.76,2,5,5,5,555,Champions
C03155,2024-12-29,59,5834441.62,2,5,5,5,555,Champions
C01127,2024-12-29,16,1125388.36,2,5,5,4,554,Champions
C01170,2024-12-29,59,3269877.59,2,5,5,5,555,Champions
C00985,2024-12-29,38,2750270.01,2,5,5,5,555,Champions
C00548,2024-12-29,35,1966661.71,2,5,5,5,555,Champions
C00975,2024-12-29,22,2875101.36,2,5,5,5,555,Champions
C00972,2024-12-29,59,6883695.22,2,5,5,5,555,Champions
C03963,2024-12-29,15,1767373.97,2,5,5,5,555,Champions
C03414,2024-12-29,18,2701497.50,2,5,5,5,555,Champions
C01104,2024-12-29,59,5657343.57,2,5,5,5,555,Champions
C03019,2024-12-29,59,4546647.53,2,5,5,5,555,Champions
C00058,2024-12-29,5,394376.25,2,5,4,4,544,Champions
C02100,2024-12-29,59,9102616.41,2,5,5,5,555,Champions
C04788,2024-12-29,59,7250122.21,2,5,5,5,555,Champions
C02904,2024-12-31,59,4857079.99,0,5,5,5,555,Champions
C01871,2024-12-29,1,15091.05,2,5,2,2,522,Potential Loyalists
C04536,2024-12-29,13,830435.87,2,5,5,4,554,Champions
C02079,2024-12-29,59,4414804.03,2,5,5,5,555,Champions
C04774,2024-12-29,59,5858257.45,2,5,5,5,555,Champions
C03314,2024-12-29,26,3037217.31,2,5,5,5,555,Champions
C03134,2024-12-29,23,3323929.87,2,5,5,5,555,Champions
C00274,2024-12-29,59,8633784.80,2,5,5,5,555,Champions
C00055,2024-12-29,59,7214805.05,2,5,5,5,555,Champions
C02072,2024-12-29,59,5840137.20,2,5,5,5,555,Champions
C01450,2024-12-29,8,820048.33,2,5,4,4,544,Champions
C02061,2024-12-29,38,2588229.27,2,5,5,5,555,Champions
C02426,2024-12-29,59,5692233.80,2,5,5,5,555,Champions
C01931,2024-12-29,25,2209187.94,2,5,5,5,555,Champions
C03841,2024-12-29,15,1679555.59,2,5,5,5,555,Champions
C02420,2024-12-29,26,4672028.05,2,5,5,5,555,Champions
C02909,2024-12-29,59,7224978.94,2,5,5,5,555,Champions
C03280,2024-12-29,35,2769994.62,2,5,5,5,555,Champions
C00302,2024-12-29,23,2321864.85,2,5,5,5,555,Champions
C02408,2024-12-29,11,1254841.51,2,5,4,5,545,Champions
C01320,2024-12-28,23,1783237.49,3,5,5,5,555,Champions
C03131,2024-12-28,59,6075164.99,3,5,5,5,555,Champions
C03179,2024-12-28,13,802763.54,3,5,5,4,554,Champions
C02333,2024-12-28,12,223311.04,3,5,5,3,553,Loyal Customers
C01911,2024-12-28,32,3529675.34,3,5,5,5,555,Champions
C02898,2024-12-28,1,115924.57,3,5,2,3,523,Potential Loyalists
C01886,2024-12-28,59,5540391.07,3,5,5,5,555,Champions
C03272,2024-12-28,59,8963998.52,3,5,5,5,555,Champions
C03486,2024-12-28,38,2924669.77,3,5,5,5,555,Champions
C04179,2024-12-28,1,583574.31,3,5,2,4,524,Others
C04862,2024-12-28,59,4781556.32,3,5,5,5,555,Champions
C03583,2024-12-28,10,2244712.91,3,5,4,5,545,Champions
C01200,2024-12-28,59,4280584.54,3,5,5,5,555,Champions
C03585,2024-12-28,59,5435339.79,3,5,5,5,555,Champions
C03945,2024-12-28,59,7822140.36,3,5,5,5,555,Champions
C00577,2024-12-28,59,6362789.75,3,5,5,5,555,Champions
C04205,2024-12-28,35,4042206.60,3,5,5,5,555,Champions
C02781,2024-12-28,59,8127802.72,3,5,5,5,555,Champions
C02848,2024-12-28,13,1728322.32,3,5,5,5,555,Champions
C03919,2024-12-28,59,3037392.82,3,5,5,5,555,Champions
C00556,2024-12-28,14,731021.68,3,5,5,4,554,Champions
C02489,2024-12-28,59,8152177.16,3,5,5,5,555,Champions
C02564,2024-12-28,59,6487040.70,3,5,5,5,555,Champions
C00555,2024-12-28,52,7978003.57,3,5,5,5,555,Champions
C00671,2024-12-28,59,6088353.17,3,5,5,5,555,Champions
C00903,2024-12-28,59,4672411.42,3,5,5,5,555,Champions
C00002,2024-12-28,35,3688925.47,3,5,5,5,555,Champions
C03905,2024-12-28,59,5740924.99,3,5,5,5,555,Champions
C02466,2024-12-28,59,9564698.26,3,5,5,5,555,Champions
C00598,2024-12-28,59,8661781.35,3,5,5,5,555,Champions
C04413,2024-12-28,31,2172203.01,3,5,5,5,555,Champions
C03753,2024-12-28,59,7323744.84,3,5,5,5,555,Champions
C00353,2024-12-28,59,6314829.23,3,5,5,5,555,Champions
C00446,2024-12-28,15,2073386.53,3,5,5,5,555,Champions
C02093,2024-12-28,59,7300463.36,3,5,5,5,555,Champions
C03501,2024-12-28,58,3850270.06,3,5,5,5,555,Champions
C02264,2024-12-28,8,1131455.67,3,5,4,4,544,Champions
C00433,2024-12-28,59,8079025.80,3,5,5,5,555,Champions
C02373,2024-12-28,26,2213756.73,3,5,5,5,555,Champions
C00352,2024-12-28,59,5051007.12,3,5,5,5,555,Champions
C00844,2024-12-28,8,315143.62,3,5,4,4,544,Champions
C03186,2024-12-28,59,4718207.81,3,5,5,5,555,Champions
C03593,2024-12-28,15,814459.23,3,5,5,4,554,Champions
C04865,2024-12-28,15,2861653.25,3,5,5,5,555,Champions
C01317,2024-12-27,18,3023492.04,4,5,5,5,555,Champions
C02242,2024-12-27,4,596449.82,4,5,4,4,544,Champions
C04786,2024-12-27,42,5043331.92,4,5,5,5,555,Champions
C03976,2024-12-27,59,6221337.38,4,5,5,5,555,Champions
C01843,2024-12-27,59,6643104.72,4,5,5,5,555,Champions
C02657,2024-12-27,59,4806190.46,4,5,5,5,555,Champions
C04909,2024-12-27,59,3615075.70,4,5,5,5,555,Champions
C04491,2024-12-27,59,3801446.08,4,5,5,5,555,Champions
C04047,2024-12-27,59,5247201.68,4,5,5,5,555,Champions
C02647,2024-12-27,10,724991.43,4,5,4,4,544,Champions
C01899,2024-12-27,59,9696375.14,4,5,5,5,555,Champions
C01525,2024-12-27,59,5475216.23,4,5,5,5,555,Champions
C02392,2024-12-27,59,8614385.59,4,5,5,5,555,Champions
C04097,2024-12-27,59,7862754.69,4,5,5,5,555,Champions
C02724,2024-12-27,1,532.31,4,5,2,1,521,Potential Loyalists
C00817,2024-12-27,1,44510.64,4,5,2,2,522,Potential Loyalists
C00384,2024-12-27,1,57860.68,4,5,2,2,522,Potential Loyalists
C02381,2024-12-27,59,6882889.43,4,5,5,5,555,Champions
C04238,2024-12-27,55,4691104.82,4,5,5,5,555,Champions
C04347,2024-12-27,16,1639486.90,4,5,5,5,555,Champions
C00800,2024-12-27,49,4786023.17,4,5,5,5,555,Champions
C01723,2024-12-27,48,6048683.32,4,5,5,5,555,Champions
C01674,2024-12-27,1,61213.76,4,5,2,2,522,Potential Loyalists
C03496,2024-12-27,22,2509796.79,4,5,5,5,555,Champions
C00097,2024-12-27,39,3705301.03,4,5,5,5,555,Champions
C01117,2024-12-27,59,5313499.34,4,5,5,5,555,Champions
C04512,2024-12-27,33,2544682.21,4,5,5,5,555,Champions
C04868,2024-12-27,51,5937567.73,4,5,5,5,555,Champions
C00148,2024-12-27,1,704543.18,4,5,2,4,524,Others
C03974,2024-12-27,59,3141452.02,4,5,5,5,555,Champions
C01325,2024-12-27,33,1238467.30,4,5,5,5,555,Champions
C01668,2024-12-26,59,11171136.30,5,5,5,5,555,Champions
C02813,2024-12-26,19,2277891.44,5,5,5,5,555,Champions
C02356,2024-12-26,49,6647776.82,5,5,5,5,555,Champions
C01215,2024-12-26,26,1989491.91,5,5,5,5,555,Champions
C04318,2024-12-26,59,7532224.29,5,5,5,5,555,Champions
C02295,2024-12-26,6,727620.77,5,5,4,4,544,Champions
C02519,2024-12-26,59,3126562.81,5,5,5,5,555,Champions
C02182,2024-12-26,59,4818173.26,5,5,5,5,555,Champions
C01437,2024-12-26,24,2378967.37,5,5,5,5,555,Champions
C01211,2024-12-26,59,5088742.81,5,5,5,5,555,Champions
C01210,2024-12-26,59,3028244.91,5,5,5,5,555,Champions
C03706,2024-12-26,59,6473741.55,5,5,5,5,555,Champions
C03156,2024-12-26,6,513381.26,5,5,4,4,544,Champions
C03760,2024-12-26,2,76184.13,5,5,3,2,532,Potential Loyalists
C00581,2024-12-26,59,4474921.24,5,5,5,5,555,Champions
C03371,2024-12-26,59,9146542.03,5,5,5,5,555,Champions
C01246,2024-12-26,59,7323494.02,5,5,5,5,555,Champions
C01099,2024-12-26,59,5737755.04,5,5,5,5,555,Champions
C04276,2024-12-26,15,1353764.27,5,5,5,5,555,Champions
C03355,2024-12-26,2,175427.31,5,5,3,3,533,Loyal Customers
C02080,2024-12-26,59,4885165.54,5,5,5,5,555,Champions
C04780,2024-12-26,59,6645830.06,5,5,5,5,555,Champions
C03089,2024-12-26,4,574078.66,5,5,4,4,544,Champions
C00258,2024-12-26,32,1655405.24,5,5,5,5,555,Champions
C01473,2024-12-26,54,5937335.90,5,5,5,5,555,Champions
C04560,2024-12-26,59,4142084.39,5,5,5,5,555,Champions
C04574,2024-12-26,59,4030439.99,5,5,5,5,555,Champions
C03847,2024-12-26,59,4538190.72,5,5,5,5,555,Champions
C04635,2024-12-26,21,1432731.26,5,5,5,5,555,Champions
C00737,2024-12-26,59,7684152.35,5,5,5,5,555,Champions
C02370,2024-12-26,59,5244207.93,5,5,5,5,555,Champions
C01974,2024-12-26,59,8111067.03,5,5,5,5,555,Champions
C00725,2024-12-26,59,7503700.18,5,5,5,5,555,Champions
C02953,2024-12-26,52,3350524.45,5,5,5,5,555,Champions
C00101,2024-12-26,59,7124262.87,5,5,5,5,555,Champions
C02184,2024-12-25,1,103255.29,6,5,2,3,523,Potential Loyalists
C02085,2024-12-25,4,184834.81,6,5,4,3,543,Loyal Customers
C04499,2024-12-25,9,448891.26,6,5,4,4,544,Champions
C03850,2024-12-25,3,195961.66,6,5,4,3,543,Loyal Customers
C04687,2024-12-25,59,8357166.93,6,5,5,5,555,Champions
C01096,2024-12-25,59,4139663.54,6,5,5,5,555,Champions
C04265,2024-12-25,59,4880080.22,6,5,5,5,555,Champions
C04256,2024-12-25,20,912715.14,6,5,5,4,554,Champions
C01435,2024-12-25,18,2576811.12,6,5,5,5,555,Champions
C01824,2024-12-25,59,6075282.96,6,5,5,5,555,Champions
C01144,2024-12-25,18,1580228.85,6,5,5,5,555,Champions
C00913,2024-12-25,59,7041283.94,6,5,5,5,555,Champions
C04599,2024-12-25,59,5153955.50,6,5,5,5,555,Champions
C00493,2024-12-25,59,3846050.13,6,5,5,5,555,Champions
C03705,2024-12-25,15,1946711.47,6,5,5,5,555,Champions
C04092,2024-12-25,11,3413462.46,6,5,4,5,545,Champions
C01052,2024-12-25,13,805047.43,6,5,5,4,554,Champions
C01035,2024-12-25,59,5715275.79,6,5,5,5,555,Champions
C01586,2024-12-25,59,6438391.31,6,5,5,5,555,Champions
C02196,2024-12-25,32,3902768.93,6,5,5,5,555,Champions
C03953,2024-12-25,59,3184846.75,6,5,5,5,555,Champions
C01610,2024-12-25,22,2310638.15,6,5,5,5,555,Champions
C02911,2024-12-25,7,866486.84,6,5,4,4,544,Champions
C01071,2024-12-25,59,3990434.67,6,5,5,5,555,Champions
C03447,2024-12-25,1,117036.41,6,5,2,3,523,Potential Loyalists
C04110,2024-12-25,1,118555.76,6,5,2,3,523,Potential Loyalists
C01736,2024-12-25,59,6061828.24,6,5,5,5,555,Champions
C00756,2024-12-25,2,304891.82,6,5,3,3,533,Loyal Customers
C02508,2024-12-25,6,1107989.13,6,5,4,4,544,Champions
C00256,2024-12-25,21,1582807.06,6,5,5,5,555,Champions
C03578,2024-12-25,33,3445287.16,6,5,5,5,555,Champions
C00108,2024-12-25,59,3639700.37,6,5,5,5,555,Champions
C04000,2024-12-25,29,2438131.22,6,5,5,5,555,Champions
C01504,2024-12-25,59,7515819.05,6,5,5,5,555,Champions
C03654,2024-12-25,57,7087009.56,6,5,5,5,555,Champions
C00502,2024-12-25,59,5259908.13,6,5,5,5,555,Champions
C02076,2024-12-24,2,5693.53,7,5,3,1,531,Potential Loyalists
C04870,2024-12-24,40,3570714.93,7,5,5,5,555,Champions
C01235,2024-12-24,59,8265577.62,7,5,5,5,555,Champions
C04099,2024-12-24,55,3710513.36,7,5,5,5,555,Champions
C03495,2024-12-24,59,7885437.42,7,5,5,5,555,Champions
C04117,2024-12-24,59,5290928.47,7,5,5,5,555,Champions
C02527,2024-12-24,59,8472347.14,7,5,5,5,555,Champions
C02290,2024-12-24,7,816601.67,7,5,4,4,544,Champions
C02513,2024-12-24,28,2791577.86,7,5,5,5,555,Champions
C02512,2024-12-24,52,5920242.65,7,5,5,5,555,Champions
C04221,2024-12-24,59,7601675.24,7,5,5,5,555,Champions
C00917,2024-12-24,59,3329527.12,7,5,5,5,555,Champions
C01498,2024-12-24,59,6603085.00,7,5,5,5,555,Champions
C02865,2024-12-24,59,7475257.75,7,5,5,5,555,Champions
C02717,2024-12-24,1,15929.51,7,5,2,2,522,Potential Loyalists
C03334,2024-12-24,59,9112009.87,7,5,5,5,555,Champions
C04291,2024-12-24,59,4741682.22,7,5,5,5,555,Champions
C01897,2024-12-24,15,1879342.49,7,5,5,5,555,Champions
C00804,2024-12-24,59,5909634.07,7,5,5,5,555,Champions
C00799,2024-12-24,1,108577.20,7,5,2,3,523,Potential Loyalists
C03050,2024-12-24,59,4528215.64,7,5,5,5,555,Champions
C02026,2024-12-24,36,2187146.51,7,5,5,5,555,Champions
C02075,2024-12-24,23,3939140.92,7,5,5,5,555,Champions
C02327,2024-12-24,1,667603.62,7,5,2,4,524,Others
C01539,2024-12-24,59,5361330.52,7,5,5,5,555,Champions
C01190,2024-12-24,28,2374597.61,7,5,5,5,555,Champions
C00081,2024-12-24,59,4082722.05,7,5,5,5,555,Champions
C02755,2024-12-24,20,2177925.16,7,5,5,5,555,Champions
C03987,2024-12-24,59,7743638.25,7,5,5,5,555,Champions
C03564,2024-12-24,59,4262651.62,7,5,5,5,555,Champions
C00109,2024-12-24,59,6623888.44,7,5,5,5,555,Champions
C02314,2024-12-23,1,38392.76,8,5,2,2,522,Potential Loyalists
C01263,2024-12-23,7,977593.97,8,5,4,4,544,Champions
C00632,2024-12-23,22,2818463.18,8,5,5,5,555,Champions
C00194,2024-12-23,4,562124.02,8,5,4,4,544,Champions
C00152,2024-12-23,42,5257971.50,8,5,5,5,555,Champions
C02142,2024-12-23,59,6165181.16,8,5,5,5,555,Champions
C00239,2024-12-23,49,4677400.45,8,5,5,5,555,Champions
C04324,2024-12-23,38,3991639.34,8,5,5,5,555,Champions
C02088,2024-12-23,46,7317727.44,8,5,5,5,555,Champions
C01513,2024-12-23,31,4312104.10,8,5,5,5,555,Champions
C01047,2024-12-23,2,7720.47,8,5,3,1,531,Potential Loyalists
C03621,2024-12-23,59,3605617.44,8,5,5,5,555,Champions
C04345,2024-12-23,7,1185343.86,8,5,4,4,544,Champions
C03914,2024-12-23,59,3781560.88,8,5,5,5,555,Champions
C00935,2024-12-23,59,6535469.49,8,5,5,5,555,Champions
C00319,2024-12-23,59,6024932.13,8,5,5,5,555,Champions
C03039,2024-12-23,7,1031337.95,8,5,4,4,544,Champions
C02676,2024-12-23,3,17394.75,8,5,4,2,542,Others
C02158,2024-12-23,1,24304.13,8,5,2,2,522,Potential Loyalists
C00702,2024-12-23,10,628670.30,8,5,4,4,544,Champions
C04012,2024-12-23,59,5375296.95,8,5,5,5,555,Champions
C04120,2024-12-23,59,3922419.54,8,5,5,5,555,Champions
C03286,2024-12-23,59,5581353.24,8,5,5,5,555,Champions
C01056,2024-12-23,59,8824948.26,8,5,5,5,555,Champions
C00167,2024-12-23,59,9106908.39,8,5,5,5,555,Champions
C03920,2024-12-23,59,6748777.62,8,5,5,5,555,Champions
C01107,2024-12-23,59,7836443.13,8,5,5,5,555,Champions
C03207,2024-12-23,1,14466.13,8,5,2,2,522,Potential Loyalists
C00516,2024-12-23,3,39188.32,8,5,4,2,542,Others
C03948,2024-12-22,38,3984791.98,9,5,5,5,555,Champions
C02495,2024-12-22,12,435418.08,9,5,5,4,554,Champions
C01428,2024-12-22,59,5898483.04,9,5,5,5,555,Champions
C02499,2024-12-22,59,3499179.56,9,5,5,5,555,Champions
C02948,2024-12-22,59,9030302.86,9,5,5,5,555,Champions
C04168,2024-12-22,4,229767.75,9,5,4,3,543,Loyal Customers
C00835,2024-12-22,59,8800925.85,9,5,5,5,555,Champions
C03615,2024-12-22,59,10592692.29,9,5,5,5,555,Champions
C04344,2024-12-22,59,5305674.25,9,5,5,5,555,Champions
C02221,2024-12-22,52,3186035.86,9,5,5,5,555,Champions
C04138,2024-12-22,59,10645126.53,9,5,5,5,555,Champions
C00301,2024-12-22,5,1005158.15,9,5,4,4,544,Champions
C01706,2024-12-22,11,474402.26,9,5,4,4,544,Champions
C02531,2024-12-22,59,3516279.22,9,5,5,5,555,Champions
C02296,2024-12-22,35,4632251.58,9,5,5,5,555,Champions
C02550,2024-12-22,59,7616548.03,9,5,5,5,555,Champions
C03545,2024-12-22,6,1004048.34,9,5,4,4,544,Champions
C04748,2024-12-22,5,329596.30,9,5,4,4,544,Champions
C04293,2024-12-22,59,5764931.04,9,5,5,5,555,Champions
C00622,2024-12-22,59,8174559.18,9,5,5,5,555,Champions
C00485,2024-12-22,9,922935.54,9,5,4,4,544,Champions
C01297,2024-12-22,46,11309102.52,9,5,5,5,555,Champions
C01965,2024-12-22,43,4281971.68,9,5,5,5,555,Champions
C00762,2024-12-22,22,1873535.78,9,5,5,5,555,Champions
C00377,2024-12-22,59,8772170.17,9,5,5,5,555,Champions
C00854,2024-12-22,4,47949.16,9,5,4,2,542,Others
C02684,2024-12-22,16,1554766.74,9,5,5,5,555,Champions
C02170,2024-12-22,18,2236317.96,9,5,5,5,555,Champions
C03743,2024-12-22,59,4940425.78,9,5,5,5,555,Champions
C00792,2024-12-22,4,561677.54,9,5,4,4,544,Champions
C04528,2024-12-22,17,1530606.24,9,5,5,5,555,Champions
C00797,2024-12-22,59,7243972.91,9,5,5,5,555,Champions
C04767,2024-12-22,59,7104675.52,9,5,5,5,555,Champions
C03375,2024-12-22,1,13513.47,9,5,2,1,521,Potential Loyalists
C04080,2024-12-22,46,4859958.86,9,5,5,5,555,Champions
C03799,2024-12-21,3,47859.48,10,5,4,2,542,Others
C02406,2024-12-21,59,6236092.30,10,5,5,5,555,Champions
C03852,2024-12-21,59,7679403.91,10,5,5,5,555,Champions
C02421,2024-12-21,59,9948982.39,10,5,5,5,555,Champions
C03216,2024-12-21,14,1933171.87,10,5,5,5,555,Champions
C02967,2024-12-21,3,165309.76,10,5,4,3,543,Loyal Customers
C03733,2024-12-21,9,1656979.76,10,5,4,5,545,Champions
C00825,2024-12-21,52,4553738.37,10,5,5,5,555,Champions
C00636,2024-12-21,59,6719724.53,10,5,5,5,555,Champions
C04016,2024-12-21,59,4693727.01,10,5,5,5,555,Champions
C00037,2024-12-21,13,1008140.53,10,5,5,4,554,Champions
C03323,2024-12-21,37,2908298.67,10,5,5,5,555,Champions
C00370,2024-12-21,1,138509.87,10,5,2,3,523,Potential Loyalists
C01260,2024-12-21,46,6096213.15,10,5,5,5,555,Champions
C00415,2024-12-21,59,7236088.38,10,5,5,5,555,Champions
C04249,2024-12-21,59,9012382.79,10,5,5,5,555,Champions
C00542,2024-12-21,59,5307048.23,10,5,5,5,555,Champions
C01792,2024-12-21,59,3350847.90,10,5,5,5,555,Champions
C03041,2024-12-21,7,472494.66,10,5,4,4,544,Champions
C02282,2024-12-21,59,9088136.87,10,5,5,5,555,Champions
C02155,2024-12-21,9,1136903.98,10,5,4,4,544,Champions
C01240,2024-12-21,59,6453604.72,10,5,5,5,555,Champions
C01546,2024-12-21,59,5672514.56,10,5,5,5,555,Champions
C01772,2024-12-21,55,3962462.22,10,5,5,5,555,Champions
C01732,2024-12-21,7,1351836.89,10,5,4,5,545,Champions
C00184,2024-12-21,30,4104637.12,10,5,5,5,555,Champions
C02131,2024-12-21,59,9247540.54,10,5,5,5,555,Champions
C03456,2024-12-21,35,2987977.32,10,5,5,5,555,Champions
C01004,2024-12-21,59,3872618.57,10,5,5,5,555,Champions
C03487,2024-12-21,59,11677601.19,10,5,5,5,555,Champions
C03548,2024-12-21,38,4276625.58,10,5,5,5,555,Champions
C02925,2024-12-21,10,731075.02,10,5,4,4,544,Champions
C02662,2024-12-21,22,3488221.99,10,5,5,5,555,Champions
C04734,2024-12-21,5,219032.89,10,5,4,3,543,Loyal Customers
C03225,2024-12-21,4,215303.32,10,5,4,3,543,Loyal Customers
C01870,2024-12-20,23,1473521.65,11,5,5,5,555,Champions
C02683,2024-12-20,59,9600717.85,11,5,5,5,555,Champions
C02623,2024-12-20,59,5543908.07,11,5,5,5,555,Champions
C02556,2024-12-20,54,5814587.73,11,5,5,5,555,Champions
C02851,2024-12-20,59,6577175.01,11,5,5,5,555,Champions
C04815,2024-12-20,4,537760.67,11,5,4,4,544,Champions
C02465,2024-12-20,51,5132464.90,11,5,5,5,555,Champions
C04789,2024-12-20,59,6146233.80,11,5,5,5,555,Champions
C02869,2024-12-20,6,123837.73,11,5,4,3,543,Loyal Customers
C00271,2024-12-20,59,5897274.95,11,5,5,5,555,Champions
C02335,2024-12-20,39,4411333.69,11,5,5,5,555,Champions
C04700,2024-12-20,59,5911677.43,11,5,5,5,555,Champions
C04642,2024-12-20,17,2171853.56,11,5,5,5,555,Champions
C03115,2024-12-20,1,356725.07,11,5,2,4,524,Others
C03150,2024-12-20,59,5168788.53,11,5,5,5,555,Champions
C04443,2024-12-20,45,7351673.91,11,5,5,5,555,Champions
C02069,2024-12-20,59,5300379.95,11,5,5,5,555,Champions
C03231,2024-12-20,58,6020457.16,11,5,5,5,555,Champions
C00766,2024-12-20,29,2638496.69,11,5,5,5,555,Champions
C00811,2024-12-20,4,46183.53,11,5,4,2,542,Others
C03316,2024-12-20,59,6066051.61,11,5,5,5,555,Champions
C00829,2024-12-20,59,2949410.10,11,5,5,5,555,Champions
C04259,2024-12-20,41,5174267.27,11,5,5,5,555,Champions
C00886,2024-12-20,5,1028086.26,11,5,4,4,544,Champions
C04081,2024-12-20,49,3926478.28,11,5,5,5,555,Champions
C04031,2024-12-20,38,1803478.46,11,5,5,5,555,Champions
C03532,2024-12-20,59,4947642.92,11,5,5,5,555,Champions
C01609,2024-12-20,59,6319899.40,11,5,5,5,555,Champions
C01605,2024-12-20,1,37845.60,11,5,2,2,522,Potential Loyalists
C03572,2024-12-20,3,127151.81,11,5,4,3,543,Loyal Customers
C01159,2024-12-20,14,1153862.08,11,5,5,4,554,Champions
C03957,2024-12-20,59,10781278.48,11,5,5,5,555,Champions
C03931,2024-12-20,3,361647.94,11,5,4,4,544,Champions
C03648,2024-12-20,9,1012882.69,11,5,4,4,544,Champions
C03658,2024-12-20,59,4950756.96,11,5,5,5,555,Champions
C01502,2024-12-20,4,215989.29,11,5,4,3,543,Loyal Customers
C03888,2024-12-20,59,6931304.50,11,5,5,5,555,Champions
C01426,2024-12-20,59,4433721.02,11,5,5,5,555,Champions
C03829,2024-12-20,59,7962283.74,11,5,5,5,555,Champions
C01417,2024-12-20,10,195848.36,11,5,4,3,543,Loyal Customers
